 time            v(out)          time            v(outpl)       
 2.52500000e-01  8.96675718e-01  2.52500000e-01  8.63918839e-01 
 2.53500000e-01  8.95797659e-01  2.53500000e-01  8.62975006e-01 
 2.54500000e-01  8.95332719e-01  2.54500000e-01  8.62476017e-01 
 2.55500000e-01  8.95329385e-01  2.55500000e-01  8.62472402e-01 
 2.56500000e-01  8.95787962e-01  2.56500000e-01  8.62964442e-01 
 2.57500000e-01  8.96660409e-01  2.57500000e-01  8.63902240e-01 
 2.58500000e-01  8.97857654e-01  2.58500000e-01  8.65192748e-01 
 2.59500000e-01  8.99260871e-01  2.59500000e-01  8.66710701e-01 
 2.60500000e-01  9.00733623e-01  2.60500000e-01  8.68310537e-01 
 2.61500000e-01  9.02133954e-01  2.61500000e-01  8.69838433e-01 
 2.62500000e-01  9.03326760e-01  2.62500000e-01  8.71145239e-01 
 2.63500000e-01  9.04195698e-01  2.63500000e-01  8.72100397e-01 
 2.64500000e-01  9.04654803e-01  2.64500000e-01  8.72606155e-01 
 2.65500000e-01  9.04658145e-01  2.65500000e-01  8.72609739e-01 
 2.66500000e-01  9.04205456e-01  2.66500000e-01  8.72110878e-01 
 2.67500000e-01  9.03342040e-01  2.67500000e-01  8.71161687e-01 
 2.68500000e-01  9.02153298e-01  2.68500000e-01  8.69859317e-01 
 2.69500000e-01  9.00755081e-01  2.69500000e-01  8.68333792e-01 
 2.70500000e-01  8.99282406e-01  2.70500000e-01  8.66734033e-01 
 2.71500000e-01  8.97877079e-01  2.71500000e-01  8.65213785e-01 
 2.72500000e-01  8.96675737e-01  2.72500000e-01  8.63918838e-01 
 2.73500000e-01  8.95797693e-01  2.73500000e-01  8.62975007e-01 
 2.74500000e-01  8.95332766e-01  2.74500000e-01  8.62476016e-01 
 2.75500000e-01  8.95329417e-01  2.75500000e-01  8.62472402e-01 
 2.76500000e-01  8.95787969e-01  2.76500000e-01  8.62964442e-01 
 2.77500000e-01  8.96660404e-01  2.77500000e-01  8.63902240e-01 
 2.78500000e-01  8.97857662e-01  2.78500000e-01  8.65192748e-01 
 2.79500000e-01  8.99260894e-01  2.79500000e-01  8.66710701e-01 
 2.80000000e-01  8.99997336e-01  2.80000000e-01  8.67509825e-01 
 2.80100000e-01  9.00118752e-01  2.80100000e-01  8.67643937e-01 
 2.80300000e-01  9.00360235e-01  2.80300000e-01  8.67910900e-01 
 2.80700000e-01  9.00837177e-01  2.80700000e-01  8.68439035e-01 
 2.81500000e-01  9.01735350e-01  2.81500000e-01  8.69437782e-01 
 2.82500000e-01  9.02665895e-01  2.82500000e-01  8.70481040e-01 
 2.83500000e-01  9.03274260e-01  2.83500000e-01  8.71174299e-01 
 2.84500000e-01  9.03472635e-01  2.84500000e-01  8.71418046e-01 
 2.85500000e-01  9.03213249e-01  2.85500000e-01  8.71157538e-01 
 2.86500000e-01  9.02493815e-01  2.86500000e-01  8.70390631e-01 
 2.87500000e-01  9.01358565e-01  2.87500000e-01  8.69168319e-01 
 2.88500000e-01  8.99892528e-01  2.88500000e-01  8.67587398e-01 
 2.89500000e-01  8.98212277e-01  2.89500000e-01  8.65778541e-01 
 2.90000000e-01  8.97333925e-01  2.90000000e-01  8.64835164e-01 
 2.90100000e-01  8.97157490e-01  2.90100000e-01  8.64645910e-01 
 2.90300000e-01  8.96804969e-01  2.90300000e-01  8.64267971e-01 
 2.90700000e-01  8.96105606e-01  2.90700000e-01  8.63519026e-01 
 2.91500000e-01  8.94761281e-01  2.91500000e-01  8.62083170e-01 
 2.92500000e-01  8.93272985e-01  2.92500000e-01  8.60500164e-01 
 2.93500000e-01  8.92110592e-01  2.93500000e-01  8.59270678e-01 
 2.94500000e-01  8.91365612e-01  2.94500000e-01  8.58490488e-01 
 2.95500000e-01  8.91088512e-01  2.95500000e-01  8.58211881e-01 
 2.96500000e-01  8.91280965e-01  2.96500000e-01  8.58436522e-01 
 2.97500000e-01  8.91895821e-01  2.97500000e-01  8.59115383e-01 
 2.98500000e-01  8.92844051e-01  2.98500000e-01  8.60155601e-01 
 2.99500000e-01  8.94006287e-01  2.99500000e-01  8.61431232e-01 
 3.00000000e-01  8.94624860e-01  3.00000000e-01  8.62111675e-01 
 3.00100000e-01  8.95199657e-01  3.00100000e-01  8.62700828e-01 
 3.00300000e-01  8.96359140e-01  3.00300000e-01  8.63890028e-01 
 3.00700000e-01  8.98665182e-01  3.00700000e-01  8.66255960e-01 
 3.01500000e-01  9.03191994e-01  3.01500000e-01  8.70901285e-01 
 3.02500000e-01  9.08608418e-01  3.02500000e-01  8.76454228e-01 
 3.03500000e-01  9.13662865e-01  3.03500000e-01  8.81618644e-01 
 3.04500000e-01  9.18295310e-01  3.04500000e-01  8.86322704e-01 
 3.05500000e-01  9.22489748e-01  3.05500000e-01  8.90543738e-01 
 3.06500000e-01  9.26275479e-01  3.06500000e-01  8.94311004e-01 
 3.07500000e-01  9.29718181e-01  3.07500000e-01  8.97696787e-01 
 3.08500000e-01  9.32911499e-01  3.08500000e-01  9.00806611e-01 
 3.09500000e-01  9.35964895e-01  3.09500000e-01  9.03764128e-01 
