 frequency       gain_db        
 1.99526231e+01  2.15594200e+01 
 2.51188643e+01  2.15594200e+01 
 3.16227766e+01  2.15594200e+01 
 3.98107171e+01  2.15594200e+01 
 5.01187234e+01  2.15594199e+01 
 6.30957344e+01  2.15594199e+01 
 7.94328235e+01  2.15594198e+01 
 1.00000000e+02  2.15594196e+01 
 1.25892541e+02  2.15594194e+01 
 1.58489319e+02  2.15594190e+01 
 1.99526231e+02  2.15594184e+01 
 2.51188643e+02  2.15594174e+01 
 3.16227766e+02  2.15594158e+01 
 3.98107171e+02  2.15594134e+01 
 5.01187234e+02  2.15594095e+01 
 6.30957344e+02  2.15594033e+01 
 7.94328235e+02  2.15593936e+01 
 1.00000000e+03  2.15593781e+01 
 1.25892541e+03  2.15593536e+01 
 1.58489319e+03  2.15593147e+01 
 1.99526231e+03  2.15592531e+01 
 2.51188643e+03  2.15591555e+01 
 3.16227766e+03  2.15590007e+01 
 3.98107171e+03  2.15587555e+01 
 5.01187234e+03  2.15583669e+01 
 6.30957344e+03  2.15577510e+01 
 7.94328235e+03  2.15567751e+01 
 1.00000000e+04  2.15552289e+01 
 1.25892541e+04  2.15527794e+01 
 1.58489319e+04  2.15489000e+01 
 1.99526231e+04  2.15427590e+01 
 2.51188643e+04  2.15330440e+01 
 3.16227766e+04  2.15176920e+01 
 3.98107171e+04  2.14934730e+01 
 5.01187234e+04  2.14553669e+01 
 6.30957344e+04  2.13956588e+01 
 7.94328235e+04  2.13026989e+01 
