 v-sweep         v(out)          v-sweep         v(outpl)        v-sweep         deriv(v(out))   v-sweep         deriv(v(outpl))
 9.00720000e-01  1.03569231e+00  9.00720000e-01  1.04279670e+00  9.00720000e-01  1.10559669e+02  9.00720000e-01  1.05646841e+02 
 9.00730000e-01  1.03679279e+00  9.00730000e-01  1.04384851e+00  9.00730000e-01  1.09548319e+02  9.00730000e-01  1.04812497e+02 
 9.00740000e-01  1.03788327e+00  9.00740000e-01  1.04489295e+00  9.00740000e-01  1.08558396e+02  9.00740000e-01  1.03836839e+02 
 9.00750000e-01  1.03896396e+00  9.00750000e-01  1.04592525e+00  9.00750000e-01  1.07589980e+02  9.00750000e-01  1.02866735e+02 
 9.00760000e-01  1.04003507e+00  9.00760000e-01  1.04695029e+00  9.00760000e-01  1.06633216e+02  9.00760000e-01  1.02078995e+02 
 9.00770000e-01  1.04109662e+00  9.00770000e-01  1.04796683e+00  9.00770000e-01  1.05695612e+02  9.00770000e-01  1.01231773e+02 
 9.00780000e-01  1.04214898e+00  9.00780000e-01  1.04897492e+00  9.00780000e-01  1.04779535e+02  9.00780000e-01  1.00395222e+02 
 9.00790000e-01  1.04319221e+00  9.00790000e-01  1.04997473e+00  9.00790000e-01  1.03874376e+02  9.00790000e-01  9.95732034e+01 
 9.00800000e-01  1.04422647e+00  9.00800000e-01  1.05096639e+00  9.00800000e-01  1.02990377e+02  9.00800000e-01  9.87653315e+01 
 9.00810000e-01  1.04525202e+00  9.00810000e-01  1.05195004e+00  9.00810000e-01  1.02121964e+02  9.00810000e-01  9.79712358e+01 
 9.00820000e-01  1.04626891e+00  9.00820000e-01  1.05292581e+00  9.00820000e-01  1.01266077e+02  9.00820000e-01  9.71905370e+01 
 9.00830000e-01  1.04727734e+00  9.00830000e-01  1.05389385e+00  9.00830000e-01  1.00426301e+02  9.00830000e-01  9.64229210e+01 
